building,address,area,total_floors,size,size_range,daily_price,monthly_price,monthly_price_size
青岛国际创新园,崂山 青岛二中 松岭路169号,中区,25层,376.0,"(100, 500]",2.0,2.26,60.1063829787234
青岛国际创新园,崂山 青岛二中 松岭路169号,高区,26层,95.0,"(0, 100]",1.4,0.399,42.00000000000001
青岛国际创新园,崂山 汽车东站 松岭路169号,中区,25层,240.0,"(100, 500]",2.2,1.58,65.83333333333333
青岛国际创新园,崂山 青岛二中 松岭路169号,高区,25层,740.0,"(500, 1000]",1.15,2.55,34.45945945945946
青岛国际创新园,崂山 青岛二中 松岭路169号,高区,24层,191.0,"(100, 500]",1.6,0.9168,47.99999999999999
青岛国际创新园,未知,高区,25层,1500.0,"(1000, 2000]",2.3,10.35,69.0
青岛国际创新园,未知,中区,25层,376.0,"(100, 500]",2.0,2.26,60.1063829787234
青岛国际创新园,崂山 汽车东站 松岭路169号,中区,25层,143.0,"(100, 500]",1.9,0.8151,57.0
青岛国际创新园,崂山 青岛二中 松岭路169号,中区,25层,240.0,"(100, 500]",2.2,1.58,65.83333333333333
青岛国际创新园,未知,中区,20层,1500.0,"(1000, 2000]",2.3,10.35,69.0
青岛国际创新园,崂山 北村 松岭路169号,中区,31层,1700.0,"(1000, 2000]",1.7,8.67,51.00000000000001
青岛国际创新园,未知,中区,25层,145.0,"(100, 500]",1.1,0.4785,33.0
青岛国际创新园,崂山 北村 山东省青岛市崂山区新锦路,中区,20层,535.44,"(500, 1000]",1.7,2.73,50.98610488570147
青岛国际创新园,崂山 中韩 青岛国际创新园,中区,31层,1700.0,"(1000, 2000]",1.7,8.67,51.00000000000001
青岛国际创新园,未知,高区,24层,580.0,"(500, 1000]",2.5,4.35,75.0
青岛国际创新园,崂山 青岛二中 松岭路169号,中区,25层,360.0,"(100, 500]",2.0,2.16,60.0
青岛国际创新园,未知,中区,20层,558.0,"(500, 1000]",1.8,3.01,53.9426523297491
青岛国际创新园,未知,中区,20层,1253.59,"(1000, 2000]",1.7,6.39,50.97360380985808
青岛国际创新园,未知,中区,20层,315.0,"(100, 500]",1.8,1.7,53.96825396825396
